created_at,tweet_id,text_clean,favorite_count,retweet_count,hashtags,url
2020-07-31 17:03:42+00:00,1289245366081093632,Happy #NationalAvocadoDay. 🥑 Here's how we're celebrating: https://t.co/gE60WESbnB,6,1,NationalAvocadoDay,"[{'url': 'https://t.co/gE60WESbnB', 'expanded_url': 'http://ow.ly/ROdP30r1ERY', 'display_url': 'ow.ly/ROdP30r1ERY', 'indices': [59, 82]}]"
2020-07-31 15:03:04+00:00,1289215003954831360,"Before figuring out how your own body reacts to caffeine, it's important to understand how much you're actually con… https://t.co/ixbJop7ZvT",8,3,,"[{'url': 'https://t.co/ixbJop7ZvT', 'expanded_url': 'https://twitter.com/i/web/status/1289215003954831360', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-31 14:03:14+00:00,1289199948404101120,"We caught up with functional medicine leaders, @DrFrankLipman + Robert Rountree, M.D., to get their take on the imp… https://t.co/atohj6rQy9",7,3,,"[{'url': 'https://t.co/atohj6rQy9', 'expanded_url': 'https://twitter.com/i/web/status/1289199948404101120', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-31 13:02:53+00:00,1289184761349459969,"To acknowledge the beginning of harvest season, here are some rituals you can use to do an internal harvest of sort… https://t.co/jceakbNXM7",10,3,,"[{'url': 'https://t.co/jceakbNXM7', 'expanded_url': 'https://twitter.com/i/web/status/1289184761349459969', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-31 11:02:15+00:00,1289154401253371904,You'll get the *hang* of these at-home moves in no time. ✔️ https://t.co/Ceyp3fOLl5,4,0,,"[{'url': 'https://t.co/Ceyp3fOLl5', 'expanded_url': 'http://ow.ly/H8FJ30r1pgp', 'display_url': 'ow.ly/H8FJ30r1pgp', 'indices': [60, 83]}]"
2020-07-31 09:01:23+00:00,1289123985880420353,These moves will help you hit your cardio goals (no running required!). 💦 via @POPSUGARFitness https://t.co/ikausI7RIU,11,2,,"[{'url': 'https://t.co/ikausI7RIU', 'expanded_url': 'http://pubx.co/4OkWV3', 'display_url': 'pubx.co/4OkWV3', 'indices': [95, 118]}]"
2020-07-31 07:01:16+00:00,1289093758924005376,A clinical psychologist dives into utilizing this practice to foster a greater sense of well-being. 💫 https://t.co/jnjJhgWiU7,10,4,,"[{'url': 'https://t.co/jnjJhgWiU7', 'expanded_url': 'http://ow.ly/Qk8a30r1EGm', 'display_url': 'ow.ly/Qk8a30r1EGm', 'indices': [102, 125]}]"
2020-07-31 05:00:22+00:00,1289063330322296832,"We're not telling you to ditch your skin care routine—but rather than the same 1-2-3-step regimen every night, may… https://t.co/uEyaGV9fjl",5,0,,"[{'url': 'https://t.co/uEyaGV9fjl', 'expanded_url': 'https://twitter.com/i/web/status/1289063330322296832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-07-31 03:00:14+00:00,1289033096877268992,"""Their pain is greater than anyone's pain, their efforts are bigger than anyone's efforts, their suffering is more… https://t.co/py2g6ATiuV",8,3,,"[{'url': 'https://t.co/py2g6ATiuV', 'expanded_url': 'https://twitter.com/i/web/status/1289033096877268992', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-07-31 01:00:45+00:00,1289003030516576258,How's your sociopath spotter? 👀 https://t.co/666GXWzD9h,10,5,,"[{'url': 'https://t.co/666GXWzD9h', 'expanded_url': 'http://ow.ly/QRRz30r1EcV', 'display_url': 'ow.ly/QRRz30r1EcV', 'indices': [32, 55]}]"
2020-07-30 23:01:09+00:00,1288972929838067714,A hair health consultant gives us a *deep-conditioning* of this vital haircare step: https://t.co/xR8MqK875d,6,2,,"[{'url': 'https://t.co/xR8MqK875d', 'expanded_url': 'http://ow.ly/PwlD30r1Eiu', 'display_url': 'ow.ly/PwlD30r1Eiu', 'indices': [85, 108]}]"
2020-07-30 21:01:24+00:00,1288942793587658753,"Award-winning journalist + author, @CelesteHeadlee, shares two important things to keep in mind to keep some perspe… https://t.co/V3pttxjCOm",4,3,,"[{'url': 'https://t.co/V3pttxjCOm', 'expanded_url': 'https://twitter.com/i/web/status/1288942793587658753', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-30 17:02:19+00:00,1288882627798327298,The research is in: Equality makes for happy couples. ⚖️ https://t.co/Zg41BTBBtW,2,1,,"[{'url': 'https://t.co/Zg41BTBBtW', 'expanded_url': 'http://ow.ly/tkHU30r1F3e', 'display_url': 'ow.ly/tkHU30r1F3e', 'indices': [57, 80]}]"
2020-07-30 15:02:35+00:00,1288852495960342535,This change in the gut microbiome may end up affecting immunity. 🔬 We asked the functional medicine doctors: https://t.co/TUmTrMZdiG,6,4,,"[{'url': 'https://t.co/TUmTrMZdiG', 'expanded_url': 'http://ow.ly/lAND30r1EJ0', 'display_url': 'ow.ly/lAND30r1EJ0', 'indices': [109, 132]}]"
2020-07-30 14:05:05+00:00,1288838024160305153,"Naturopath, nutritionist + inflammation expert, @drkellyann, is helping us support our body's natural detoxificatio… https://t.co/ywNKgCSB9q",21,14,,"[{'url': 'https://t.co/ywNKgCSB9q', 'expanded_url': 'https://twitter.com/i/web/status/1288838024160305153', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-30 13:03:46+00:00,1288822596507783168,This easy recipe is the i-*dill* summer snack. 😋 https://t.co/RvDeAyyzF4,8,2,,"[{'url': 'https://t.co/RvDeAyyzF4', 'expanded_url': 'http://ow.ly/46iT30r10cS', 'display_url': 'ow.ly/46iT30r10cS', 'indices': [49, 72]}]"
2020-07-30 11:01:54+00:00,1288791926951546883,Does this old patio standby stand-up to the test? 🕯️ https://t.co/0rfKGWlCv8,3,2,,"[{'url': 'https://t.co/0rfKGWlCv8', 'expanded_url': 'http://ow.ly/7pyM30r1cuu', 'display_url': 'ow.ly/7pyM30r1cuu', 'indices': [53, 76]}]"
2020-07-30 07:01:21+00:00,1288731391404969985,Experts weigh in on the baby hair how-to's: https://t.co/8f71WxQmeN,4,1,,"[{'url': 'https://t.co/8f71WxQmeN', 'expanded_url': 'http://ow.ly/D63t30r1pk0', 'display_url': 'ow.ly/D63t30r1pk0', 'indices': [44, 67]}]"
2020-07-30 05:00:19+00:00,1288700930960089090,"Epidemiologist + sexual health researcher, Ashley Townes, Ph.D., MPH, on the things that get in the way of Black wo… https://t.co/T0U0qAb10i",2,0,,"[{'url': 'https://t.co/T0U0qAb10i', 'expanded_url': 'https://twitter.com/i/web/status/1288700930960089090', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-30 03:00:08+00:00,1288670685800337408,"""Being insecure as a child looks similar to being insecure as an adult in the sense that the anxiety and fear of be… https://t.co/PnsodV3IJl",12,4,,"[{'url': 'https://t.co/PnsodV3IJl', 'expanded_url': 'https://twitter.com/i/web/status/1288670685800337408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-30 01:00:39+00:00,1288640618290446344,"Should you stay in a sexless relationship? Here are all the answers you're looking for, straight from sex + marriag… https://t.co/WmhqZJz7hj",5,1,,"[{'url': 'https://t.co/WmhqZJz7hj', 'expanded_url': 'https://twitter.com/i/web/status/1288640618290446344', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-29 23:01:35+00:00,1288610653633220611,These soothing TCM herbal masks use seasonal ingredients you might already have in your fridge. 🥒🍉 https://t.co/pwvuZuS7qR,14,7,,"[{'url': 'https://t.co/pwvuZuS7qR', 'expanded_url': 'http://ow.ly/j90w30r1cTV', 'display_url': 'ow.ly/j90w30r1cTV', 'indices': [99, 122]}]"
2020-07-29 21:01:24+00:00,1288580408318271494,We love a natural beauty oil around here. 💧 So let's dive into the oil's benefits + what to know before picking up… https://t.co/JtqPI1Xx9X,7,2,,"[{'url': 'https://t.co/JtqPI1Xx9X', 'expanded_url': 'https://twitter.com/i/web/status/1288580408318271494', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-07-29 19:02:27+00:00,1288550473050578944,Let's brush up on this skincare practice. 👀 https://t.co/ip6T29c7bh,6,3,,"[{'url': 'https://t.co/ip6T29c7bh', 'expanded_url': 'http://ow.ly/c2E630r1rdw', 'display_url': 'ow.ly/c2E630r1rdw', 'indices': [44, 67]}]"
2020-07-29 17:03:10+00:00,1288520454630772736,"""There are two things in the American diet that are key: fast carbs and LDL,""  shares pediatrician + former FDA com… https://t.co/k6oK0JRRjH",19,2,,"[{'url': 'https://t.co/k6oK0JRRjH', 'expanded_url': 'https://twitter.com/i/web/status/1288520454630772736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-07-29 16:03:28+00:00,1288505432106049545,An international team of researchers have identified a blood test that was able to detect cancers up to four years… https://t.co/CvFgQDuHye,11,3,,"[{'url': 'https://t.co/CvFgQDuHye', 'expanded_url': 'https://twitter.com/i/web/status/1288505432106049545', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
